Started at,Ended at,Total Time,Nodes Explored,Path Length
14:,14:53:46.632,0.0002,1,0.00
14:,14:53:46.658,0.0215,2001,7117.54
14:,14:53:46.665,0.0041,588,3364.86
14:,14:53:46.684,0.0161,2112,10805.67
14:,14:53:46.693,0.0062,790,2800.68
14:,14:53:46.711,0.0154,2170,12346.35
14:,14:53:46.732,0.0189,1989,7504.02
14:,14:53:46.743,0.0081,717,2973.30
14:,14:53:46.748,0.0028,278,1906.51
14:,14:53:46.758,0.0075,366,2088.95
14:,14:53:46.765,0.0040,501,2948.48
14:,14:53:46.788,0.0206,1870,7528.86
14:,14:53:46.799,0.0083,678,3125.44
14:,14:53:46.811,0.0084,807,5104.62
